Compounds	7d	14d	21d	1m	2m	3m	6m	12m	mo
Thyroxine	5.254183105	5.188073534	5.255323358	5.289099805	5.182439013	5.200175888	5.054547567	5.091742902	5.087239488
4-Hydroxycinnamic acid	4.717281935	4.758766549	4.961016901	4.816489066	4.77096509	4.730629409	4.724174277	4.718392173	4.549454411
Metanephrine	3.228014806	3.29544375	3.418051348	3.304663587	3.396320772	3.316082738	3.158418272	3.067790637	3.089332434
Dopaquinone	3.70007083	3.728123763	3.727389538	3.728757414	3.68091093	3.640248353	3.626773653	3.637387371	3.616866347
"Indole-5,6-quinone"	3.671999353	3.707324504	3.639173605	3.754938961	4.083616988	4.303008574	4.492512738	4.361094343	4.288252978
Pyruvic acid	3.412022064	3.181038604	3.151672983	3.150810653	3.591425433	3.438619103	3.185072983	3.474456941	3.740378619
Salidroside	4.122261821	4.158331036	4.137265429	4.07649539	4.053585136	3.974595811	3.973201484	3.991588988	3.966387952
"5,6-Indolequinone-2-carboxylic acid"	4.334823335	4.432611315	4.384246729	4.250355048	4.129811306	3.797881986	4.054690114	3.98940037	3.895007913
3-Hydroxyphenylacetic acid	3.373594307	3.573538328	3.544012347	3.452932291	3.553459824	3.243598709	3.077355887	3.368839421	3.305936566
Acetoacetic acid	3.507688916	3.669428257	3.46380633	3.602181055	3.610551306	3.606068774	3.579825332	3.583468279	3.978930919
Vanylglycol	2.921258454	2.990274755	2.833054076	3.021613825	3.065171522	3.132721637	3.193492051	3.096122278	3.048010584
Homogentisic acid	4.008520348	4.364138245	4.147313876	4.408838706	4.812902877	4.929247462	5.115325326	5.038509361	4.744892294
4-Hydroxyphenylpyruvic acid	4.320271647	4.260355759	4.253439518	4.206199139	4.386866003	4.454695967	4.436053686	4.480086916	4.365582985
Gentisate aldehyde	3.551107893	3.603415104	3.72162058	3.336357912	3.545809583	3.474598063	3.928345576	4.074597917	3.970757703
Fumaric acid	3.452755788	3.578129036	3.631671482	3.684654177	3.698474195	3.331056802	3.238342114	3.439371062	3.378991947
"5,6-Dihydroxyindole-2-carboxylic acid"	3.45684284	3.544285261	3.544618879	3.818008151	4.126690876	4.158186039	4.654120646	4.247647467	4.30293241
Beta-Tyrosine	3.507226434	3.329666394	3.559470055	3.467796669	3.428391487	3.53970395	3.912749367	3.391930508	3.366411648
Lipoxin A4	6.815941372	6.812518168	6.776166406	6.78832343	6.795502767	6.803952763	6.801438699	6.795575571	6.856971076
thromboxane A2	4.733664523	4.663410976	4.56330299	4.556773455	4.310924159	3.978056983	3.95470152	4.35129463	4.154217316
Progesterone	5.67847886	5.669475278	5.707208523	5.675140266	5.679312766	5.58590255	5.603639841	5.615428878	5.625071671
L-Aspartic acid	4.329616107	4.366258218	4.371480509	4.349886613	4.322982543	4.278189281	4.233567788	4.256752696	4.182025815
5-trans-PGF2alpha	4.252732788	4.170342183	4.208202922	4.080446242	4.089230621	4.180506739	4.47979558	4.155020594	4.452237136
2-Arachidonoylglycerol	4.335291885	4.373432739	4.311762651	4.515630928	4.461409408	4.444857821	4.326968416	4.402892067	4.182337508
Thyroxine	5.254183105	5.188073534	5.255323358	5.289099805	5.182439013	5.200175888	5.054547567	5.091742902	5.087239488
Serotonin	4.50214474	4.450424472	4.270047107	4.606540715	4.462724224	4.542132324	4.342239251	4.710791652	4.555087427
Hydrocortisone	4.845885473	4.446432793	4.401164578	4.512095749	4.525787621	4.427091622	4.503705004	4.297709499	5.004720475
prostaglandin D2	4.789422357	4.751562354	4.644350735	4.644885175	4.379441933	4.029684596	4.301451526	4.33858927	4.408018744
Taurine	4.014494013	3.820345602	3.743472024	3.754092711	4.228343454	4.081360194	3.82593809	4.112730349	4.369252836
leukotriene C4	4.349878661	4.3403901	4.315141978	4.431489437	4.411391916	4.556557243	4.430488073	4.304518014	4.016400875
L-Glutamic acid	4.700335838	4.629335419	4.624867694	4.569059985	4.52177446	4.277472337	4.257207458	4.23053325	4.268079439
L-Homocysteic acid	3.329608608	3.390141598	3.492870672	3.517838049	3.477364674	3.31790149	3.194106198	3.10191263	3.096489318
L-Homoserine	4.686829504	4.721010607	4.932774096	4.786513724	4.74332432	4.699555625	4.698813804	4.67974797	4.52058196
Methionine	4.949394611	4.862105624	4.895975965	4.901354778	4.85542903	4.742627101	4.722853776	4.749651834	4.649237171
L-cystathionine	4.191434781	4.180124405	4.198966969	4.18379215	4.157422931	4.146448348	4.055708683	4.012349111	4.054508444
L-Aspartic acid	4.329616107	4.366258218	4.371480509	4.349886613	4.322982543	4.278189281	4.233567788	4.256752696	4.182025815
1-Aminocyclopropanecarboxylic acid	3.893388121	3.861518211	3.852103286	3.813740726	3.720451188	3.639284454	3.648806373	3.6907769	3.70461357
Pyruvic acid	3.412022064	3.181038604	3.151672983	3.150810653	3.591425433	3.438619103	3.185072983	3.474456941	3.740378619
L-Cysteinesulfinic acid	4.476136576	4.326642645	4.254900526	4.235421517	4.459781041	4.375985534	4.310509179	4.476442065	4.784494856
S-adenosyl-L-homocysteine	4.399492398	4.32645769	4.260632793	4.509765423	4.841447132	4.96730471	5.125750193	5.171468819	5.096409509
S-methyl-5-thio-alpha-D-ribose 1-phosphate	3.566107846	3.658214182	3.665528962	3.724463031	3.892406791	3.90855046	4.066749503	4.10632775	4.0408405
O-acetyl-L-serine	3.245763882	3.320147116	3.162921288	3.335703857	3.66966282	3.839715534	3.969908023	3.901877783	3.863245622
N-Formylmethionine	4.400359629	4.512084761	4.627625881	4.61274526	4.59588325	3.957895377	3.752441859	3.875466974	4.112154525
Phosphoserine	2.944528385	3.057986946	3.357354451	3.024650885	3.072814455	3.323018074	3.435426005	3.279430608	3.157366221
3-Mercaptolactic acid	3.142783929	3.138649761	3.25541671	3.226354932	3.168561447	3.141507147	3.019446906	3.116854706	2.992946639
S-adenosylmethioninamine	3.809494867	3.759563446	3.776039625	3.751100562	3.814988282	3.638654718	3.541915548	3.581814085	3.466575007
"5-(Methylthio)-2,3-dioxopentyl phosphate"	3.088978509	3.091353752	3.076704261	3.311285763	3.546159508	3.563173265	3.888837441	3.855160978	3.923807203
L-Homoserine	4.686829504	4.721010607	4.932774096	4.786513724	4.74332432	4.699555625	4.698813804	4.67974797	4.52058196
Choline	5.879184318	5.878342749	5.941614832	5.921956521	5.916446136	5.774811065	5.663197715	5.694712471	5.701519199
Creatine	5.731285633	5.646291156	5.547731835	5.547068046	5.596425478	5.57669378	5.646260631	5.553121951	5.710230024
L-cystathionine	4.191434781	4.180124405	4.198966969	4.18379215	4.157422931	4.146448348	4.055708683	4.012349111	4.054508444
L-Aspartic acid	4.329616107	4.366258218	4.371480509	4.349886613	4.322982543	4.278189281	4.233567788	4.256752696	4.182025815
2-Phospho-D-Glyceric Acid	3.811959406	3.870157433	3.882457397	3.902975853	4.072884561	4.126320748	4.284896259	4.187512561	4.179269444
Aminoacetone	3.716754284	3.69276579	3.789403517	3.688562043	3.692874517	3.643433427	3.606360959	3.653246797	3.541557658
Pyruvic acid	3.412022064	3.181038604	3.151672983	3.150810653	3.591425433	3.438619103	3.185072983	3.474456941	3.740378619
Dimethylglycine	3.585492047	3.619264766	3.63231298	3.531463321	3.402234974	3.30802333	3.148588665	3.085380964	3.187857624
Betaine	6.007216895	5.926899306	5.932017694	5.919134063	5.886787041	5.906928252	5.875476616	5.935548855	5.794437589
L-Tryptophan	5.704701041	5.772231468	5.74158014	5.731793049	5.714851432	5.715756351	5.649437961	5.699751206	5.399673336
Phosphoserine	2.944528385	3.057986946	3.357354451	3.024650885	3.072814455	3.323018074	3.435426005	3.279430608	3.157366221
L-Valine	5.394127367	5.370376325	5.370353997	5.34076058	5.342222784	5.378836223	5.43885226	5.424074461	5.180762347
L-Histidine	4.660688057	4.326922743	4.125550052	4.107559503	3.848188357	4.073426732	4.23606588	4.186543144	4.959835019
L-Methionine	4.949394611	4.862105624	4.895975965	4.901354778	4.85542903	4.742627101	4.722853776	4.749651834	4.649237171
L-Tyrosine	5.771630341	5.817823169	6.014655935	5.880111845	5.834346873	5.793937433	5.792239018	5.769988988	5.624336159
L-Lysine	4.61409718	4.637078483	4.604693294	4.540134622	4.540451395	4.54924819	4.492934703	4.55258199	4.156002466
L-Aspartic acid	4.329616107	4.366258218	4.371480509	4.349886613	4.322982543	4.278189281	4.233567788	4.256752696	4.182025815
L-Proline	4.82030929	4.836341117	4.880809816	4.906364957	4.860312909	4.877028937	4.799732545	4.7515307	4.571493409
Indole	5.564211919	5.541769397	5.585568955	5.558429843	5.586189723	5.551165242	5.536066455	5.553216127	5.464003949
Butyric acid	4.661547527	4.782609344	4.571433543	4.887475928	4.837694838	3.990679733	3.864584056	4.354453558	4.668282842
L-Tryptophan	5.704701041	5.772231468	5.74158014	5.731793049	5.714851432	5.715756351	5.649437961	5.699751206	5.399673336
L-Glutamic acid	4.700335838	4.629335419	4.624867694	4.569059985	4.52177446	4.277472337	4.257207458	4.23053325	4.268079439
p-Cresol	5.03117656	5.110481416	5.070113854	5.165811022	5.324795672	5.347072786	5.538963967	5.436876025	5.421822559
L-Isoleucine	5.709980645	5.733457233	5.704902513	5.709080758	5.67741482	5.622871648	5.565701864	5.550720879	5.536423282
L-Tyrosine	5.771630341	5.817823169	6.014655935	5.880111845	5.834346873	5.793937433	5.792239018	5.769988988	5.624336159
Shikimic acid	4.219289897	4.20618847	4.036091561	4.299108592	4.213996487	4.259547116	4.169188567	4.384603892	4.114552141
Indole	5.564211919	5.541769397	5.585568955	5.558429843	5.586189723	5.551165242	5.536066455	5.553216127	5.464003949
Protocatechuic acid	3.498005153	3.439225008	3.499449323	3.491040721	3.777394288	3.89642684	4.287939264	4.201601857	4.016604575
L-Tryptophan	5.704701041	5.772231468	5.74158014	5.731793049	5.714851432	5.715756351	5.649437961	5.699751206	5.399673336
4-Hydroxyphenylpyruvic acid	4.320271647	4.260355759	4.253439518	4.206199139	4.386866003	4.454695967	4.436053686	4.480086916	4.365582985
3-Hydroxybenzoic acid	2.812765227	3.000076757	2.820681682	3.101654832	3.320062043	3.391799051	3.919952617	4.039871714	3.541009527
2-Benzylmalate	3.525811527	3.369112997	3.375458538	3.467404332	3.75473945	3.860944638	4.25791823	4.232854032	3.73871395
